기본순자산금액,회계연도,순자산조정금액,소관명,적립금잉여금액,구분,합계금액
0.0,2022,0.0,가습기살균제사건과 4·16세월호참사 특별조사위원회,12176772770.0,재원의조달,12176772770.0
441504775.0,2022,0.0,5·18민주화운동 진상규명조사위원회,888230879.0,전기 기초순자산,1329735654.0
441504775.0,2022,0.0,5·18민주화운동 진상규명조사위원회,888230879.0,보고금액,1329735654.0
0.0,2022,0.0,5·18민주화운동 진상규명조사위원회,9185428211.0,재정운영결과,9185428211.0
0.0,2022,0.0,5·18민주화운동 진상규명조사위원회,9735449960.0,재원의조달및이전,9735449960.0
0.0,2022,0.0,5·18민주화운동 진상규명조사위원회,9735449960.0,재원의조달,9735449960.0
0.0,2022,0.0,5·18민주화운동 진상규명조사위원회,9378919310.0,국고수입,9378919310.0
0.0,2022,0.0,5·18민주화운동 진상규명조사위원회,356530650.0,기타재원조달,356530650.0
0.0,2022,0.0,5·18민주화운동 진상규명조사위원회,0.0,재원의이전,0.0
0.0,2022,0.0,5·18민주화운동 진상규명조사위원회,0.0,조정항목,0.0
441504775.0,2022,0.0,5·18민주화운동 진상규명조사위원회,1438252628.0,전기 기말순자산,1879757403.0
441504775.0,2022,0.0,5·18민주화운동 진상규명조사위원회,1438252628.0,당기 기초순자산,1879757403.0
441504775.0,2022,0.0,5·18민주화운동 진상규명조사위원회,1438252628.0,보고금액,1879757403.0
0.0,2022,0.0,5·18민주화운동 진상규명조사위원회,12349460325.0,재정운영결과,12349460325.0
0.0,2022,0.0,5·18민주화운동 진상규명조사위원회,12494084170.0,재원의조달및이전,12494084170.0
0.0,2022,0.0,5·18민주화운동 진상규명조사위원회,12535986090.0,재원의조달,12535986090.0
0.0,2022,0.0,5·18민주화운동 진상규명조사위원회,11912994680.0,국고수입,11912994680.0
0.0,2022,0.0,5·18민주화운동 진상규명조사위원회,41901920.0,제재금수익,41901920.0
0.0,2022,0.0,5·18민주화운동 진상규명조사위원회,581089490.0,기타재원조달,581089490.0
0.0,2022,0.0,5·18민주화운동 진상규명조사위원회,41901920.0,재원의이전,41901920.0
0.0,2022,0.0,5·18민주화운동 진상규명조사위원회,41901920.0,국고이전지출,41901920.0
0.0,2022,0.0,5·18민주화운동 진상규명조사위원회,0.0,조정항목,0.0
441504775.0,2022,0.0,5·18민주화운동 진상규명조사위원회,1582876473.0,당기 기말순자산,2024381248.0
0.0,2022,0.0,가습기살균제사건과 4·16세월호참사 특별조사위원회,1791001810.0,전기 기초순자산,1791001810.0
0.0,2022,0.0,가습기살균제사건과 4·16세월호참사 특별조사위원회,1791001810.0,보고금액,1791001810.0
0.0,2022,0.0,가습기살균제사건과 4·16세월호참사 특별조사위원회,12938716692.0,재정운영결과,12938716692.0
0.0,2022,0.0,가습기살균제사건과 4·16세월호참사 특별조사위원회,12168867210.0,재원의조달및이전,12168867210.0
0.0,2022,24676208623.0,감사원,0.0,조정항목,24676208623.0
0.0,2022,24676208623.0,감사원,0.0,자산재평가이익,24676208623.0
101119697697.0,2022,126772716565.0,감사원,-9079901925.0,전기 기말순자산,218812512337.0
0.0,2022,0.0,개인정보보호위원회,152587560670.0,재원의조달,152587560670.0
0.0,2022,0.0,개인정보보호위원회,48191984510.0,국고수입,48191984510.0
0.0,2022,0.0,개인정보보호위원회,102331658970.0,제재금수익,102331658970.0
0.0,2022,0.0,개인정보보호위원회,2063917190.0,기타재원조달,2063917190.0
0.0,2022,0.0,개인정보보호위원회,3362564850.0,재원의이전,3362564850.0
0.0,2022,0.0,개인정보보호위원회,3362564850.0,국고이전지출,3362564850.0
0.0,2022,0.0,개인정보보호위원회,0.0,조정항목,0.0
208943413.0,2022,0.0,개인정보보호위원회,102774945767.0,당기 기말순자산,102983889180.0
6898650203656.0,2022,4695055559745.0,경찰청,2975580065292.0,전기 기초순자산,14569285828693.0
6898650203656.0,2022,4695055559745.0,경찰청,2975580065292.0,보고금액,14569285828693.0
0.0,2022,0.0,경찰청,13737047702872.0,재정운영결과,13737047702872.0
0.0,2022,0.0,경찰청,13667648216990.0,재원의조달및이전,13667648216990.0
0.0,2022,0.0,경찰청,14709384011544.0,재원의조달,14709384011544.0
0.0,2022,0.0,경찰청,11643577354120.0,국고수입,11643577354120.0
0.0,2022,0.0,경찰청,1022040908100.0,제재금수익,1022040908100.0
0.0,2022,0.0,경찰청,12217760.0,기타비교환수익,12217760.0
0.0,2022,0.0,경찰청,417574453304.0,무상이전수입,417574453304.0
0.0,2022,0.0,경찰청,1626179078260.0,기타재원조달,1626179078260.0
0.0,2022,0.0,경찰청,1041735794554.0,재원의이전,1041735794554.0
0.0,2022,0.0,경찰청,998434241640.0,국고이전지출,998434241640.0
0.0,2022,0.0,경찰청,43301552914.0,무상이전지출,43301552914.0
0.0,2022,2141160005226.0,경찰청,0.0,조정항목,2141160005226.0
0.0,2022,2141160005226.0,경찰청,0.0,자산재평가이익,2141160005226.0
6898650203656.0,2022,6836215564971.0,경찰청,2906180579410.0,전기 기말순자산,16641046348037.0
6898650203656.0,2022,6836215564971.0,경찰청,2906180579410.0,당기 기초순자산,16641046348037.0
6898650203656.0,2022,6836215564971.0,경찰청,2906180579410.0,보고금액,16641046348037.0
0.0,2022,0.0,개인정보보호위원회,149224995820.0,재원의조달및이전,149224995820.0
0.0,2022,0.0,개인정보보호위원회,47335615589.0,재정운영결과,47335615589.0
208943413.0,2022,0.0,개인정보보호위원회,885565536.0,보고금액,1094508949.0
101119697697.0,2022,126772716565.0,감사원,-9079901925.0,당기 기초순자산,218812512337.0
101119697697.0,2022,126772716565.0,감사원,-9079901925.0,보고금액,218812512337.0
0.0,2022,0.0,감사원,144843968338.0,재정운영결과,144843968338.0
0.0,2022,0.0,감사원,150118021840.0,재원의조달및이전,150118021840.0
0.0,2022,0.0,감사원,150681992720.0,재원의조달,150681992720.0
0.0,2022,0.0,감사원,127203683840.0,국고수입,127203683840.0
0.0,2022,0.0,감사원,23478308880.0,기타재원조달,23478308880.0
0.0,2022,0.0,감사원,563970880.0,재원의이전,563970880.0
0.0,2022,0.0,감사원,563970880.0,국고이전지출,563970880.0
0.0,2022,-46180362.0,감사원,0.0,조정항목,-46180362.0
0.0,2022,-46180362.0,감사원,0.0,자산재평가이익,-46180362.0
101119697697.0,2022,126726536203.0,감사원,-3805848423.0,당기 기말순자산,224040385477.0
208943413.0,2022,0.0,개인정보보호위원회,1956229618.0,전기 기초순자산,2165173031.0
208943413.0,2022,0.0,개인정보보호위원회,1956229618.0,보고금액,2165173031.0
0.0,2022,0.0,개인정보보호위원회,37872085262.0,재정운영결과,37872085262.0
0.0,2022,0.0,개인정보보호위원회,36801421180.0,재원의조달및이전,36801421180.0
0.0,2022,0.0,개인정보보호위원회,52847279450.0,재원의조달,52847279450.0
0.0,2022,0.0,개인정보보호위원회,35540394480.0,국고수입,35540394480.0
0.0,2022,0.0,개인정보보호위원회,15484891710.0,제재금수익,15484891710.0
0.0,2022,0.0,개인정보보호위원회,1821993260.0,기타재원조달,1821993260.0
0.0,2022,0.0,개인정보보호위원회,16045858270.0,재원의이전,16045858270.0
0.0,2022,0.0,개인정보보호위원회,16026378270.0,국고이전지출,16026378270.0
0.0,2022,0.0,개인정보보호위원회,19480000.0,무상이전지출,19480000.0
0.0,2022,0.0,개인정보보호위원회,0.0,조정항목,0.0
208943413.0,2022,0.0,개인정보보호위원회,885565536.0,전기 기말순자산,1094508949.0
208943413.0,2022,0.0,개인정보보호위원회,885565536.0,당기 기초순자산,1094508949.0
0.0,2022,0.0,과학기술정보통신부,150688661340.0,기타순자산의증감,150688661340.0
3267347709270.0,2022,5323443748069.0,과학기술정보통신부,4153255367227.0,전기 기말순자산,12744046824566.0
3267347709270.0,2022,5323443748069.0,과학기술정보통신부,4153255367227.0,당기 기초순자산,12744046824566.0
0.0,2022,0.0,국가인권위원회,17546669.0,무상이전지출,17546669.0
0.0,2022,3510943035.0,국가인권위원회,0.0,조정항목,3510943035.0
0.0,2022,3510943035.0,국가인권위원회,0.0,자산재평가이익,3510943035.0
5747910897.0,2022,3903260337.0,국가인권위원회,13003273754.0,전기 기말순자산,22654444988.0
5747910897.0,2022,3903260337.0,국가인권위원회,13003273754.0,당기 기초순자산,22654444988.0
5747910897.0,2022,3903260337.0,국가인권위원회,13003273754.0,보고금액,22654444988.0
0.0,2022,0.0,국가인권위원회,42383247690.0,재정운영결과,42383247690.0
0.0,2022,0.0,국가인권위원회,42727415760.0,재원의조달및이전,42727415760.0
0.0,2022,0.0,국가인권위원회,42737232630.0,재원의조달,42737232630.0
0.0,2022,0.0,국가인권위원회,39105471030.0,국고수입,39105471030.0
0.0,2022,0.0,국가인권위원회,866250.0,제재금수익,866250.0
0.0,2022,0.0,국가인권위원회,7134010.0,기타비교환수익,7134010.0
0.0,2022,0.0,국가인권위원회,3623761340.0,기타재원조달,3623761340.0
0.0,2022,0.0,국가인권위원회,9816870.0,재원의이전,9816870.0
0.0,2022,0.0,국가인권위원회,9816870.0,국고이전지출,9816870.0
0.0,2022,-33747863.0,국가인권위원회,0.0,조정항목,-33747863.0
0.0,2022,-33747863.0,국가인권위원회,0.0,자산재평가이익,-33747863.0
5747910897.0,2022,3869512474.0,국가인권위원회,13347441824.0,당기 기말순자산,22964865195.0
0.0,2022,0.0,국가정보원,0.0,전기 기초순자산,0.0
0.0,2022,0.0,국가정보원,683703390620.0,재정운영결과,683703390620.0
0.0,2022,0.0,국가정보원,683703390620.0,재원의조달및이전,683703390620.0
0.0,2022,0.0,국가정보원,703096941110.0,재원의조달,703096941110.0
0.0,2022,0.0,국가정보원,703096941110.0,국고수입,703096941110.0
0.0,2022,0.0,국가정보원,19393550490.0,재원의이전,19393550490.0
0.0,2022,0.0,국가정보원,19393550490.0,국고이전지출,19393550490.0
0.0,2022,0.0,국가정보원,0.0,조정항목,0.0
0.0,2022,0.0,국가인권위원회,28993200.0,국고이전지출,28993200.0
0.0,2022,0.0,국가인권위원회,46539869.0,재원의이전,46539869.0
0.0,2022,0.0,국가인권위원회,3033514000.0,기타재원조달,3033514000.0
848491973306.0,2022,720538984507.0,국가보훈처,653880546669.0,당기 기초순자산,2222911504482.0
848491973306.0,2022,720538984507.0,국가보훈처,653880546669.0,보고금액,2222911504482.0
0.0,2022,0.0,국가보훈처,5678830650433.0,재정운영결과,5678830650433.0
0.0,2022,0.0,국가보훈처,5672777005993.0,재원의조달및이전,5672777005993.0
0.0,2022,0.0,국가보훈처,5679260784583.0,재원의조달,5679260784583.0
0.0,2022,0.0,국가보훈처,5663049854750.0,국고수입,5663049854750.0
0.0,2022,0.0,국가보훈처,21441270.0,제재금수익,21441270.0
0.0,2022,0.0,국가보훈처,1167064553.0,무상이전수입,1167064553.0
0.0,2022,0.0,국가보훈처,15022424010.0,기타재원조달,15022424010.0
0.0,2022,0.0,국가보훈처,6483778590.0,재원의이전,6483778590.0
0.0,2022,0.0,국가보훈처,6381472590.0,국고이전지출,6381472590.0
0.0,2022,0.0,국가보훈처,102306000.0,무상이전지출,102306000.0
0.0,2022,-34767668538.0,국가보훈처,0.0,조정항목,-34767668538.0
0.0,2022,-7161429887.0,국가보훈처,0.0,투자증권평가손익,-7161429887.0
0.0,2022,-27687142581.0,국가보훈처,0.0,자산재평가이익,-27687142581.0
0.0,2022,80903930.0,국가보훈처,0.0,기타순자산의증감,80903930.0
848491973306.0,2022,685771315969.0,국가보훈처,647826902229.0,당기 기말순자산,2182090191504.0
5747910897.0,2022,392317302.0,국가인권위원회,2129751448.0,전기 기초순자산,8269979647.0
5747910897.0,2022,392317302.0,국가인권위원회,2129751448.0,보고금액,8269979647.0
0.0,2022,0.0,국가인권위원회,39549466577.0,재정운영결과,39549466577.0
