계정명,세출예산액,세출예산현액,이용및이체증액,이용및이체감액,전용증액,전용감액,불용액,지출금액,회계명,회계연도,다음년도이월액,소관명,전년도이월액,예비비지출결정증액,예비비지출결정감액,초과지출승인액
지역자율계정,449065000000.0,489825000000.0,0.0,0.0,0.0,0.0,6581500000.0,483243500000.0,국가균형발전특별회계,2022,0.0,문화체육관광부,40760000000.0,0.0,0.0,0.0
지역지원계정,143366000000.0,143366000000.0,0.0,0.0,0.0,0.0,7700000000.0,135666000000.0,국가균형발전특별회계,2022,0.0,문화체육관광부,0.0,0.0,0.0,0.0
,141242000000.0,145935460600.0,500000000.0,-500000000.0,142851000.0,-142851000.0,10841826020.0,128649981130.0,아시아문화중심도시조성특별회계,2022,6443653450.0,문화체육관광부,4693460600.0,0.0,0.0,0.0
,3246303400000.0,3305597130890.0,6781455000.0,-6781455000.0,11986249000.0,-11986249000.0,90234650390.0,3165160493870.0,일반회계,2022,50201986630.0,문화체육관광부,59293730890.0,0.0,0.0,0.0
,33728000000.0,33728000000.0,0.0,0.0,76090000.0,-76090000.0,1042333870.0,32685666130.0,일반회계,2022,0.0,민주평화통일자문회의,0.0,0.0,0.0,0.0
,50526000000.0,50676000000.0,0.0,0.0,0.0,0.0,2561815300.0,47980184700.0,일반회계,2022,134000000.0,방송통신위원회,150000000.0,0.0,0.0,0.0
,16136741000000.0,16425500451290.0,200000000.0,-281000000.0,225441203020.0,-225441203020.0,298724203840.0,15744774187560.0,일반회계,2022,382002059890.0,방위사업청,288840451290.0,0.0,0.0,0.0
,121574000000.0,124792913360.0,0.0,0.0,0.0,0.0,15109093600.0,109683819760.0,교도작업특별회계,2022,0.0,법무부,3218913360.0,0.0,0.0,0.0
,4107675000000.0,4142499514410.0,32271000000.0,-32271000000.0,16814801000.0,-16814801000.0,61688492140.0,4073951433700.0,일반회계,2022,6859588570.0,법무부,30559448410.0,4265066000.0,0.0,0.0
,42951600000.0,42951600000.0,0.0,0.0,0.0,0.0,2281515860.0,40670084140.0,일반회계,2022,0.0,법제처,0.0,0.0,0.0,0.0
,272021000000.0,272021000000.0,0.0,0.0,63731000.0,-63731000.0,30440054820.0,241580945180.0,일반회계,2022,0.0,병무청,0.0,0.0,0.0,0.0
지역지원계정,292789000000.0,292789000000.0,0.0,0.0,0.0,0.0,28778420.0,292760221580.0,국가균형발전특별회계,2022,0.0,보건복지부,0.0,0.0,0.0,0.0
손익계정,16399000000.0,16421800000.0,0.0,0.0,8580000.0,-8580000.0,2062608150.0,14359191850.0,국립공주병원,2022,0.0,보건복지부,0.0,0.0,0.0,22800000.0
자본계정,1123000000.0,1123000000.0,0.0,0.0,0.0,0.0,60534800.0,1062465200.0,국립공주병원,2022,0.0,보건복지부,0.0,0.0,0.0,0.0
손익계정,21758000000.0,22159194000.0,0.0,0.0,18500000.0,-18500000.0,2248236400.0,19910957600.0,국립나주병원,2022,0.0,보건복지부,0.0,0.0,0.0,401194000.0
자본계정,1541000000.0,1807163720.0,0.0,0.0,0.0,0.0,19620580.0,1738365040.0,국립나주병원,2022,49178100.0,보건복지부,266163720.0,0.0,0.0,0.0
손익계정,19978000000.0,20002000000.0,0.0,0.0,21650000.0,-21650000.0,1964754050.0,18037245950.0,국립부곡병원,2022,0.0,보건복지부,0.0,0.0,0.0,24000000.0
자본계정,1456000000.0,1523000000.0,0.0,0.0,0.0,0.0,294431660.0,1228568340.0,국립부곡병원,2022,0.0,보건복지부,67000000.0,0.0,0.0,0.0
손익계정,54784000000.0,58204523000.0,0.0,0.0,1067286000.0,-1067286000.0,2139052830.0,55376949670.0,국립재활원,2022,688520500.0,보건복지부,570948000.0,0.0,0.0,2849575000.0
자본계정,2901000000.0,2999700000.0,0.0,0.0,0.0,0.0,156875140.0,1849514200.0,국립재활원,2022,993310660.0,보건복지부,98700000.0,0.0,0.0,0.0
손익계정,44164000000.0,44737323910.0,0.0,0.0,1053361000.0,-1053361000.0,3413645810.0,41003845100.0,국립정신건강센터,2022,319833000.0,보건복지부,202573910.0,0.0,0.0,370750000.0
자본계정,1288000000.0,1288000000.0,0.0,0.0,0.0,0.0,2703040.0,1275396960.0,국립정신건강센터,2022,9900000.0,보건복지부,0.0,0.0,0.0,0.0
손익계정,14974000000.0,15182987980.0,0.0,0.0,114100000.0,-114100000.0,1840704380.0,13342283600.0,국립춘천병원,2022,0.0,보건복지부,110387980.0,0.0,0.0,98600000.0
자본계정,1246000000.0,1409330000.0,0.0,0.0,112717000.0,-112717000.0,122542660.0,1076285340.0,국립춘천병원,2022,210502000.0,보건복지부,163330000.0,0.0,0.0,0.0
농어촌특별세사업계정,48982000000.0,48982000000.0,0.0,0.0,0.0,0.0,0.0,48982000000.0,농어촌구조개선특별회계,2022,0.0,보건복지부,0.0,0.0,0.0,0.0
,66039557500000.0,67044839714570.0,420291365000.0,-420291365000.0,178325844000.0,-178325844000.0,372978754330.0,66645904248630.0,일반회계,2022,25956711610.0,보건복지부,29361014570.0,975921200000.0,0.0,0.0
세종특별자치시계정,674000000.0,674000000.0,0.0,0.0,0.0,0.0,0.0,674000000.0,국가균형발전특별회계,2022,0.0,산림청,0.0,0.0,0.0,0.0
제주특별자치도계정,1010000000.0,1010000000.0,0.0,0.0,0.0,0.0,0.0,1010000000.0,국가균형발전특별회계,2022,0.0,산림청,0.0,0.0,0.0,0.0
지역자율계정,131840000000.0,138975148000.0,0.0,0.0,0.0,0.0,160000000.0,138815148000.0,국가균형발전특별회계,2022,0.0,산림청,7135148000.0,0.0,0.0,0.0
지역지원계정,182188000000.0,182894393620.0,0.0,0.0,6545000000.0,-6545000000.0,2362691620.0,177822624350.0,국가균형발전특별회계,2022,2709077650.0,산림청,706393620.0,0.0,0.0,0.0
손익계정,33958000000.0,33958000000.0,0.0,0.0,0.0,0.0,1178282330.0,32779717670.0,국립자연휴양림관리소,2022,0.0,산림청,0.0,0.0,0.0,0.0
자본계정,27334000000.0,30378985240.0,0.0,0.0,0.0,0.0,733919020.0,25146101010.0,국립자연휴양림관리소,2022,4498965210.0,산림청,3044985240.0,0.0,0.0,0.0
임업진흥사업계정,937154000000.0,938395041850.0,5588050000.0,-5588050000.0,278000000.0,-278000000.0,5385396360.0,928624066550.0,농어촌구조개선특별회계,2022,4385578940.0,산림청,1241041850.0,0.0,0.0,0.0
,1984815000000.0,2083123361100.0,30116567000.0,-30116567000.0,5185589000.0,-5185589000.0,16863824440.0,1990276458690.0,일반회계,2022,75983077970.0,산림청,30149180100.0,68159181000.0,0.0,0.0
세종특별자치시계정,9764000000.0,9764000000.0,0.0,0.0,0.0,0.0,11282000.0,9752718000.0,국가균형발전특별회계,2022,0.0,산업통상자원부,0.0,0.0,0.0,0.0
제주특별자치도계정,19894000000.0,19894000000.0,0.0,0.0,0.0,0.0,0.0,19894000000.0,국가균형발전특별회계,2022,0.0,산업통상자원부,0.0,0.0,0.0,0.0
지역지원계정,826576000000.0,826585091000.0,0.0,0.0,200300000.0,-200300000.0,2699374330.0,822895625760.0,국가균형발전특별회계,2022,990090910.0,산업통상자원부,9091000.0,0.0,0.0,0.0
