사업규모설명,회계연도,소관명,총사업비,사업유형대분류,사업유형중분류,사업유형,설계비,기타관리금액,시설부대비,총사업비명,보상비,예비비,감리비,공사비
,2023,관세청,123102,건축,공장 또는 창고시설,공장 또는 창고시설,2250,0,426,인천항 세관 통합검사장 신축,0,0,4921,115505
,2023,관세청,32073,건축,업무시설(공공청사),업무시설(공공청사),1967,0,93,부산세관 청사개선,0,0,3116,26897
,2023,교육부,21717,건축,병원등 의료시설,의료시설(장례식장 포함),695,0,33,국민재난 진료지원센터 건립사업,7421,0,138,13430
,2023,교육부,33144,건축,병원등 의료시설,의료시설(장례식장 포함),993,0,60,복합진료지원동 건립사업,0,0,1740,30351
,2023,교육부,49099,건축,병원등 의료시설,의료시설(장례식장 포함),926,0,1432,서울대병원 고객주차장 보강 및 리모델링,0,0,1576,45165
,2023,교육부,45821,건축,병원등 의료시설,의료시설(장례식장 포함),1945,0,75,서울대병원 종합진료지원동 건립,0,0,2181,41620
,2023,교육부,452131,건축,병원등 의료시설,의료시설(장례식장 포함),35392,0,744,서울대학교병원 배곧서울대학교병원 건립,0,0,8995,407000
,2023,교육부,39808,건축,병원등 의료시설,의료시설(장례식장 포함),1682,0,87,서울대학교병원 본관 노후병동 리모델링,0,0,395,37644
,2023,교육부,34665,건축,병원등 의료시설,의료시설(장례식장 포함),1626,0,75,시흥서울대학교치과병원 건립사업,0,0,358,32606
,2023,교육부,230109,건축,병원등 의료시설,의료시설(장례식장 포함),7035,0,1048,임상실습동 건립사업,17965,0,8537,195524
,2023,교육부,306288,건축,병원등 의료시설,의료시설(장례식장 포함),9297,0,1707,전북대병원 군산분원 건립,20905,0,9002,265377
,2023,교육부,21672,건축,병원등 의료시설,의료시설(장례식장 포함),1133,0,44,전북대학교병원 임상교육훈련센터 건립,0,0,1673,18822
,2023,교육부,51676,건축,병원등 의료시설,의료시설(장례식장 포함),2048,0,160,제주대학교병원 교육진료동 증축사업,0,0,3063,46405
