계정명,DIF_AMT,이체등증감액,회계명,회계연도,불납결손액,미수납액,소관명,수납금액,징수결정금액,세입예산액,세입예산현액
자본계정,290336270.0,0.0,국립재활원,2022,0.0,0.0,보건복지부,3191336270.0,3191336270.0,2901000000.0,2901000000.0
손익계정,8253633430.0,0.0,국립정신건강센터,2022,0.0,735033630.0,보건복지부,52417633430.0,53152667060.0,44164000000.0,44164000000.0
자본계정,6698190.0,0.0,국립정신건강센터,2022,0.0,0.0,보건복지부,1294698190.0,1294698190.0,1288000000.0,1288000000.0
손익계정,3706741290.0,0.0,국립춘천병원,2022,0.0,471698260.0,보건복지부,18680741290.0,19152439550.0,14974000000.0,14974000000.0
자본계정,186073320.0,0.0,국립춘천병원,2022,0.0,0.0,보건복지부,1432073320.0,1432073320.0,1246000000.0,1246000000.0
농어촌특별세사업계정,399066740.0,0.0,농어촌구조개선특별회계,2022,0.0,1663860490.0,보건복지부,1215066740.0,2878927230.0,816000000.0,816000000.0
투자계정,4275130.0,0.0,에너지및자원사업특별회계,2022,0.0,2116002210.0,보건복지부,4275130.0,2120277340.0,0.0,0.0
,468023800050.0,0.0,일반회계,2022,10996179260.0,400652825440.0,보건복지부,981101800050.0,1392750804750.0,513078000000.0,513078000000.0
제주특별자치도계정,42009100.0,0.0,국가균형발전특별회계,2022,0.0,0.0,산림청,42009100.0,42009100.0,0.0,0.0
지역자율계정,2135168170.0,0.0,국가균형발전특별회계,2022,0.0,229040480.0,산림청,2135168170.0,2364208650.0,0.0,0.0
지역지원계정,3320970.0,0.0,국가균형발전특별회계,2022,0.0,0.0,산림청,3320970.0,3320970.0,0.0,0.0
손익계정,5114498690.0,0.0,국립자연휴양림관리소,2022,0.0,2160998560.0,산림청,39072498690.0,41233497250.0,33958000000.0,33958000000.0
자본계정,3500944040.0,0.0,국립자연휴양림관리소,2022,0.0,0.0,산림청,30834944040.0,30834944040.0,27334000000.0,27334000000.0
임업진흥사업계정,175075736310.0,0.0,농어촌구조개선특별회계,2022,23365600.0,67913611710.0,산림청,1112229736310.0,1180166713620.0,937154000000.0,937154000000.0
투자계정,11507164950.0,0.0,에너지및자원사업특별회계,2022,0.0,813840180.0,산림청,11507164950.0,12321005130.0,0.0,0.0
,-13440846630.0,0.0,일반회계,2022,112633330.0,19324249400.0,산림청,80691153370.0,100128036100.0,94132000000.0,94132000000.0
세종특별자치시계정,113239130.0,0.0,국가균형발전특별회계,2022,0.0,0.0,산업통상자원부,113239130.0,113239130.0,0.0,0.0
지역자율계정,956678670.0,0.0,국가균형발전특별회계,2022,0.0,309020.0,산업통상자원부,956678670.0,956987690.0,0.0,0.0
지역지원계정,-29893498180.0,0.0,국가균형발전특별회계,2022,0.0,4238345050.0,산업통상자원부,54037501820.0,58275846870.0,83931000000.0,83931000000.0
,38385357340.0,0.0,소재부품장비경쟁력강화특별회계,2022,0.0,0.0,산업통상자원부,2434756157340.0,2434756157340.0,2396370800000.0,2396370800000.0
융자계정,-49639533100.0,0.0,에너지및자원사업특별회계,2022,0.0,0.0,산업통상자원부,532576466900.0,532576466900.0,582216000000.0,582216000000.0
투자계정,122154738950.0,0.0,에너지및자원사업특별회계,2022,0.0,14329426030.0,산업통상자원부,4650019738950.0,4664349164980.0,4527865000000.0,4527865000000.0
,-38646677600.0,0.0,일반회계,2022,0.0,15587344610.0,산업통상자원부,171394322400.0,186981667010.0,210041000000.0,210041000000.0
지역지원계정,120846460.0,0.0,국가균형발전특별회계,2022,0.0,0.0,새만금개발청,186846460.0,186846460.0,66000000.0,66000000.0
,1896236080.0,0.0,일반회계,2022,0.0,3895407960.0,새만금개발청,9733236080.0,13628644040.0,7837000000.0,7837000000.0
,-103943490.0,0.0,일반회계,2022,0.0,156359630.0,소방청,3475056510.0,3631416140.0,3579000000.0,3579000000.0
제주특별자치도계정,3718670.0,0.0,국가균형발전특별회계,2022,0.0,0.0,식품의약품안전처,3718670.0,3718670.0,0.0,0.0
지역지원계정,190009350.0,0.0,국가균형발전특별회계,2022,0.0,944980.0,식품의약품안전처,190009350.0,190954330.0,0.0,0.0
구조개선사업계정,-3500000.0,0.0,농어촌구조개선특별회계,2022,0.0,0.0,식품의약품안전처,6500000.0,6500000.0,10000000.0,10000000.0
,-15642839010.0,0.0,일반회계,2022,1770000.0,6684096800.0,식품의약품안전처,34492160990.0,41178027790.0,50135000000.0,50135000000.0
세종특별자치시계정,38409310.0,0.0,국가균형발전특별회계,2022,0.0,0.0,여성가족부,38409310.0,38409310.0,0.0,0.0
지역자율계정,431439910.0,0.0,국가균형발전특별회계,2022,0.0,1025841760.0,여성가족부,431439910.0,1457281670.0,0.0,0.0
지역지원계정,1172512210.0,0.0,국가균형발전특별회계,2022,0.0,0.0,여성가족부,1172512210.0,1172512210.0,0.0,0.0
,19391325900.0,0.0,일반회계,2022,0.0,2926933980.0,여성가족부,32883325900.0,35810259880.0,13492000000.0,13492000000.0
,59641632660.0,0.0,일반회계,2022,0.0,485230300.0,외교부,291599632660.0,292084862960.0,231958000000.0,231958000000.0
,1274452620.0,0.0,일반회계,2022,0.0,134323650.0,원자력안전위원회,2951452620.0,3085776270.0,1677000000.0,1677000000.0
,279209050.0,0.0,일반회계,2022,0.0,187837090.0,인사혁신처,60847209050.0,61035046140.0,60568000000.0,60568000000.0
손익계정,65320146520.0,0.0,조달특별회계,2022,0.0,62242628550.0,조달청,395730146520.0,457972775070.0,330410000000.0,330410000000.0
자본계정,13763146650.0,0.0,조달특별회계,2022,0.0,0.0,조달청,177340146650.0,177340146650.0,163577000000.0,163577000000.0
세종특별자치시계정,23969040.0,0.0,국가균형발전특별회계,2022,0.0,0.0,중소벤처기업부,23969040.0,23969040.0,0.0,0.0
제주특별자치도계정,55919340.0,0.0,국가균형발전특별회계,2022,0.0,0.0,중소벤처기업부,55919340.0,55919340.0,0.0,0.0
지역자율계정,162212310.0,0.0,국가균형발전특별회계,2022,0.0,67773830.0,중소벤처기업부,162212310.0,229986140.0,0.0,0.0
지역지원계정,-9203484360.0,0.0,국가균형발전특별회계,2022,0.0,0.0,중소벤처기업부,12078515640.0,12078515640.0,21282000000.0,21282000000.0
,635332510.0,0.0,소재부품장비경쟁력강화특별회계,2022,0.0,0.0,중소벤처기업부,635332510.0,635332510.0,0.0,0.0
,-2430356450.0,0.0,일반회계,2022,0.0,1699265710.0,중소벤처기업부,160941643550.0,162640909260.0,163372000000.0,163372000000.0
,2644041220.0,0.0,일반회계,2022,73605000.0,1346655770.0,중앙선거관리위원회,6679041220.0,8099301990.0,4035000000.0,4035000000.0
,23660.0,0.0,일반회계,2022,0.0,0.0,진실·화해를위한과거사정리위원회,23660.0,23660.0,0.0,0.0
손익계정,5937977750.0,0.0,국립마산병원,2022,0.0,566946620.0,질병관리청,20214977750.0,20781924370.0,14277000000.0,14277000000.0
자본계정,132462080.0,0.0,국립마산병원,2022,0.0,0.0,질병관리청,6439462080.0,6439462080.0,6307000000.0,6307000000.0
손익계정,387382760.0,0.0,국립목포병원,2022,0.0,209740900.0,질병관리청,11566382760.0,11776123660.0,11179000000.0,11179000000.0
자본계정,941951270.0,0.0,국립목포병원,2022,0.0,0.0,질병관리청,2857951270.0,2857951270.0,1916000000.0,1916000000.0
,150117941380.0,0.0,일반회계,2022,3383760.0,60301922790.0,질병관리청,155696941380.0,216002247930.0,5579000000.0,5579000000.0
,2806931900.0,0.0,일반회계,2022,52163720.0,10388010.0,통계청,6260931900.0,6323483630.0,3454000000.0,3454000000.0
,1066410810.0,0.0,일반회계,2022,0.0,170751230.0,통일부,2739410810.0,2910162040.0,1673000000.0,1673000000.0
손익계정,48275884300.0,0.0,특허청,2022,0.0,0.0,특허청,703809884300.0,703809884300.0,655534000000.0,655534000000.0
자본계정,675811470.0,0.0,특허청,2022,0.0,0.0,특허청,139728811470.0,139728811470.0,139053000000.0,139053000000.0
,-1216986970.0,0.0,일반회계,2022,42013120.0,2401923530.0,해양경찰청,4027013030.0,6470949680.0,5244000000.0,5244000000.0
항만계정,75752653700.0,0.0,교통시설특별회계,2022,0.0,24044015390.0,해양수산부,1526394653700.0,1550438669090.0,1450642000000.0,1450642000000.0
제주특별자치도계정,-4481000000.0,0.0,국가균형발전특별회계,2022,0.0,0.0,해양수산부,0.0,0.0,4481000000.0,4481000000.0
지역자율계정,-1896360610.0,0.0,국가균형발전특별회계,2022,0.0,1262449310.0,해양수산부,5144639390.0,6407088700.0,7041000000.0,7041000000.0
지역지원계정,-2547632940.0,0.0,국가균형발전특별회계,2022,0.0,630984410.0,해양수산부,435367060.0,1066351470.0,2983000000.0,2983000000.0
구조개선사업계정,17980058340.0,0.0,농어촌구조개선특별회계,2022,0.0,7421274140.0,해양수산부,40223058340.0,47644332480.0,22243000000.0,22243000000.0
농어촌특별세사업계정,8602353780.0,0.0,농어촌구조개선특별회계,2022,0.0,3531303120.0,해양수산부,15108353780.0,18639656900.0,6506000000.0,6506000000.0
투자계정,-1434265100.0,0.0,에너지및자원사업특별회계,2022,0.0,1746447180.0,해양수산부,2407734900.0,4154182080.0,3842000000.0,3842000000.0
,-12049766050.0,0.0,일반회계,2022,0.0,5087316190.0,해양수산부,37042233950.0,42129550140.0,49092000000.0,49092000000.0
제주특별자치도계정,2155170.0,0.0,국가균형발전특별회계,2022,0.0,0.0,행정안전부,2155170.0,2155170.0,0.0,0.0
지역자율계정,-1376131070.0,0.0,국가균형발전특별회계,2022,0.0,19025920.0,행정안전부,498868930.0,517894850.0,1875000000.0,1875000000.0
지역지원계정,7056538770.0,0.0,국가균형발전특별회계,2022,0.0,2161543190.0,행정안전부,10483538770.0,12645081960.0,3427000000.0,3427000000.0
