TBL_NM,PRD_DE,TBL_ID,ITM_NM,ITM_NM_ENG,ITM_ID,UNIT_NM,ORG_ID,UNIT_NM_ENG,C1_OBJ_NM,DT,PRD_SE,C1,C1_NM,C1_NM_ENG,LST_CHN_DE
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,남,Male,T21,명,101,Person,행정구역별,126325,M,26410,금정구,Geumjeong-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,여,Female,T22,명,101,Person,행정구역별,129249,M,26410,금정구,Geumjeong-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,계,Total,T20,명,101,Person,행정구역별,62576,M,26440,강서구,Gangseo-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,남,Male,T21,명,101,Person,행정구역별,32744,M,26440,강서구,Gangseo-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,여,Female,T22,명,101,Person,행정구역별,29832,M,26440,강서구,Gangseo-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,계,Total,T20,명,101,Person,행정구역별,213318,M,26470,연제구,Yeonje-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,남,Male,T21,명,101,Person,행정구역별,105615,M,26470,연제구,Yeonje-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,여,Female,T22,명,101,Person,행정구역별,107703,M,26470,연제구,Yeonje-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,계,Total,T20,명,101,Person,행정구역별,178266,M,26500,수영구,Suyeong-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,남,Male,T21,명,101,Person,행정구역별,86277,M,26500,수영구,Suyeong-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,여,Female,T22,명,101,Person,행정구역별,91989,M,26500,수영구,Suyeong-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,계,Total,T20,명,101,Person,행정구역별,257431,M,26530,사상구,Sasang-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,남,Male,T21,명,101,Person,행정구역별,131351,M,26530,사상구,Sasang-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,여,Female,T22,명,101,Person,행정구역별,126080,M,26530,사상구,Sasang-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,계,Total,T20,명,101,Person,행정구역별,102814,M,26710,기장군,Gijang-gun,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,남,Male,T21,명,101,Person,행정구역별,51294,M,26710,기장군,Gijang-gun,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,여,Female,T22,명,101,Person,행정구역별,51520,M,26710,기장군,Gijang-gun,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,계,Total,T20,명,101,Person,행정구역별,2512071,M,27,대구광역시,Daegu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,남,Male,T21,명,101,Person,행정구역별,1255238,M,27,대구광역시,Daegu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,여,Female,T22,명,101,Person,행정구역별,1256833,M,27,대구광역시,Daegu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,계,Total,T20,명,101,Person,행정구역별,77816,M,27110,중구,Jung-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,남,Male,T21,명,101,Person,행정구역별,38265,M,27110,중구,Jung-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,여,Female,T22,명,101,Person,행정구역별,39551,M,27110,중구,Jung-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,계,Total,T20,명,101,Person,행정구역별,337836,M,27140,동구,Dong-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,남,Male,T21,명,101,Person,행정구역별,169257,M,27140,동구,Dong-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,여,Female,T22,명,101,Person,행정구역별,168579,M,27140,동구,Dong-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,계,Total,T20,명,101,Person,행정구역별,224289,M,27170,서구,Seo-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,남,Male,T21,명,101,Person,행정구역별,114131,M,27170,서구,Seo-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,여,Female,T22,명,101,Person,행정구역별,110158,M,27170,서구,Seo-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,계,Total,T20,명,101,Person,행정구역별,171148,M,27200,남구,Nam-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,남,Male,T21,명,101,Person,행정구역별,83803,M,27200,남구,Nam-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,여,Female,T22,명,101,Person,행정구역별,87345,M,27200,남구,Nam-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,계,Total,T20,명,101,Person,행정구역별,452394,M,27230,북구,Buk-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,남,Male,T21,명,101,Person,행정구역별,227447,M,27230,북구,Buk-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,여,Female,T22,명,101,Person,행정구역별,224947,M,27230,북구,Buk-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,계,Total,T20,명,101,Person,행정구역별,462352,M,27260,수성구,Suseong-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,남,Male,T21,명,101,Person,행정구역별,227451,M,27260,수성구,Suseong-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,여,Female,T22,명,101,Person,행정구역별,234901,M,27260,수성구,Suseong-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,계,Total,T20,명,101,Person,행정구역별,607402,M,27290,달서구,Dalseo-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,남,Male,T21,명,101,Person,행정구역별,303600,M,27290,달서구,Dalseo-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,여,Female,T22,명,101,Person,행정구역별,303802,M,27290,달서구,Dalseo-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,계,Total,T20,명,101,Person,행정구역별,178834,M,27710,달성군,Dalseong-gun,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,남,Male,T21,명,101,Person,행정구역별,91284,M,27710,달성군,Dalseong-gun,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,여,Female,T22,명,101,Person,행정구역별,87550,M,27710,달성군,Dalseong-gun,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,계,Total,T20,명,101,Person,행정구역별,2761122,M,28,인천광역시,Incheon,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,남,Male,T21,명,101,Person,행정구역별,1391674,M,28,인천광역시,Incheon,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,여,Female,T22,명,101,Person,행정구역별,1369448,M,28,인천광역시,Incheon,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,계,Total,T20,명,101,Person,행정구역별,92918,M,28110,중구,Jung-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,남,Male,T21,명,101,Person,행정구역별,48323,M,28110,중구,Jung-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,여,Female,T22,명,101,Person,행정구역별,44595,M,28110,중구,Jung-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,계,Total,T20,명,101,Person,행정구역별,79929,M,28140,동구,Dong-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,남,Male,T21,명,101,Person,행정구역별,40361,M,28140,동구,Dong-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,여,Female,T22,명,101,Person,행정구역별,39568,M,28140,동구,Dong-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,계,Total,T20,명,101,Person,행정구역별,423222,M,28170,남구,Nam-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,남,Male,T21,명,101,Person,행정구역별,213898,M,28170,남구,Nam-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,여,Female,T22,명,101,Person,행정구역별,209324,M,28170,남구,Nam-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,계,Total,T20,명,101,Person,행정구역별,279487,M,28185,연수구,Yeonsu-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,남,Male,T21,명,101,Person,행정구역별,140333,M,28185,연수구,Yeonsu-gu,
