계정명,이체등증감액,회계명,회계연도,수입항,수입항명,수입관,수입관명,불납결손액,미수납액,소관명,수납액,징수결정액,세입예산액/당초수입계획액,세입예산액/수정수입계획액,세입예산현액/수입계획현액,수납순액
차관계정,0,공공자금관리기금,2022,92,예탁원금회수,40,정부내부수입및기타,0,0,기획재정부,776910000,776910000,679000000,679000000,679000000,776910000
차관계정,0,공공자금관리기금,2022,95,예탁이자수입,40,정부내부수입및기타,0,0,기획재정부,4763960,4763960,18000000,18000000,18000000,4763960
,0,국유재산관리기금,2022,51,관유물대여료,11,재산수입,0,0,기획재정부,1.42606E+11,1.42606E+11,1.12439E+11,1.12439E+11,1.12439E+11,1.42606E+11
,0,국유재산관리기금,2022,54,기타이자수입및재산수입,11,재산수입,0,0,기획재정부,24371921730,24371921730,31609000000,31609000000,31609000000,24371921730
,0,국유재산관리기금,2022,57,변상금및위약금,12,경상이전수입,0,0,기획재정부,58895035100,58895035100,52770000000,52770000000,52770000000,58895035100
,0,국유재산관리기금,2022,59,기타경상이전수입,12,경상이전수입,0,0,기획재정부,7142210200,7142210200,8732000000,8732000000,8732000000,7142210200
,0,국유재산관리기금,2022,71,고정자산매각대,15,관유물매각대,0,0,기획재정부,39019007810,39019007810,34829000000,34829000000,34829000000,39019007810
,0,국유재산관리기금,2022,72,토지및무형자산매각대,15,관유물매각대,0,0,기획재정부,1.43039E+12,1.43039E+12,1.10478E+12,1.10478E+12,1.10478E+12,1.43039E+12
,0,국유재산관리기금,2022,85,정부예금회수,31,차입금및여유자금회수,0,0,기획재정부,1.87352E+12,1.87352E+12,2.72639E+11,2.72639E+11,2.72639E+11,2.15962E+11
,0,국유재산관리기금,2022,92,예탁원금회수,40,정부내부수입및기타,0,0,기획재정부,3E+11,3E+11,3E+11,3E+11,3E+11,3E+11
,0,국유재산관리기금,2022,95,예탁이자수입,40,정부내부수입및기타,0,0,기획재정부,24164652870,24164652870,19735000000,23386000000,23386000000,24164652870
,0,기후대응기금,2022,54,기타이자수입및재산수입,11,재산수입,0,0,기획재정부,3438125310,3438125310,0,0,0,3438125310
