당년도순원가,당년도수익,당년도총원가,구분,회계연도,전년도순원가,전년도수익,전년도총원가,소관명
4370954114792.0,0.0,4370954114792.0,8.군사시설건설및운영,2022,4786980546006.0,0.0,4786980546006.0,국방부
638393348908.0,0.0,638393348908.0,7.군인사및교육훈련,2022,539456331260.0,0.0,539456331260.0,국방부
10516567119331.0,0.0,10516567119331.0,6.군수지원및협력,2022,14752185187571.0,0.0,14752185187571.0,국방부
0.0,0.0,0.0,비배분비용,2022,0.0,0.0,0.0,국무조정실 및 국무총리비서실
179000.0,0.0,0.0,(21)기타비용,2022,163038.0,0.0,0.0,국무조정실 및 국무총리비서실
17741184128.0,0.0,0.0,(20)연구개발비,2022,8745558723.0,0.0,0.0,국무조정실 및 국무총리비서실
59864052248.0,0.0,0.0,1.인건비,2022,57082015436.0,0.0,0.0,국무조정실 및 국무총리비서실
123845912794.0,0.0,0.0,관리운영비,2022,124645991253.0,0.0,0.0,국무조정실 및 국무총리비서실
213549949.0,0.0,213549949.0,2.KDI 국제정책대학원 연금기금 국가부담금 지원,2022,232159027.0,0.0,232159027.0,국무조정실 및 국무총리비서실
521484854000.0,0.0,521484854000.0,1.정부출연연구기관 지원(R&D),2022,507695185000.0,0.0,507695185000.0,국무조정실 및 국무총리비서실
521698403949.0,0.0,521698403949.0,프로그램순원가,2022,507927344027.0,0.0,507927344027.0,국무조정실 및 국무총리비서실
736154979420.0,0.0,0.0,재정운영결과,2022,683703390620.0,0.0,0.0,국가정보원
736154979420.0,0.0,0.0,재정운영순원가,2022,683703390620.0,0.0,0.0,국가정보원
0.0,0.0,0.0,2.기타수익,2022,19393550490.0,0.0,0.0,국가정보원
42317964910.0,0.0,0.0,1.재화및용역제공수익,2022,0.0,0.0,0.0,국가정보원
42317964910.0,0.0,0.0,비배분수익,2022,19393550490.0,0.0,0.0,국가정보원
0.0,0.0,0.0,비배분비용,2022,0.0,0.0,0.0,국가정보원
0.0,0.0,0.0,관리운영비,2022,0.0,0.0,0.0,국가정보원
778472944330.0,0.0,778472944330.0,1.국가정보지원,2022,703096941110.0,0.0,703096941110.0,국가정보원
778472944330.0,0.0,778472944330.0,프로그램순원가,2022,703096941110.0,0.0,703096941110.0,국가정보원
42383247690.0,0.0,0.0,재정운영결과,2022,39549466577.0,0.0,0.0,국가인권위원회
42383247690.0,0.0,0.0,재정운영순원가,2022,39549466577.0,0.0,0.0,국가인권위원회
1816620.0,0.0,0.0,1.기타수익,2022,1215039.0,0.0,0.0,국가인권위원회
63981860546.0,0.0,0.0,2.경비,2022,67563975817.0,0.0,0.0,국무조정실 및 국무총리비서실
11730032490.0,0.0,0.0,(1)복리후생비,2022,11084673735.0,0.0,0.0,국무조정실 및 국무총리비서실
2706421142.0,0.0,0.0,(2)소모품비,2022,2689155219.0,0.0,0.0,국무조정실 및 국무총리비서실
0.0,0.0,0.0,(19)평가손실,2022,12666542174.0,0.0,0.0,국무조정실 및 국무총리비서실
3573834170.0,0.0,0.0,(18)감가상각비,2022,3690619217.0,0.0,0.0,국무조정실 및 국무총리비서실
3124404150.0,0.0,0.0,(17)보조비,2022,3166844670.0,0.0,0.0,국무조정실 및 국무총리비서실
9333250850.0,0.0,0.0,(16)외주용역비,2022,9938357810.0,0.0,0.0,국무조정실 및 국무총리비서실
5650403414.0,0.0,0.0,(15)업무추진비,2022,6592407499.0,0.0,0.0,국무조정실 및 국무총리비서실
2477690006.0,0.0,0.0,(14)여비교통비,2022,2169010884.0,0.0,0.0,국무조정실 및 국무총리비서실
952134305.0,0.0,0.0,(13)수선유지비,2022,594647870.0,0.0,0.0,국무조정실 및 국무총리비서실
84153858.0,0.0,0.0,(12)유류비,2022,131222736.0,0.0,0.0,국무조정실 및 국무총리비서실
3370208534.0,0.0,0.0,(11)지급임차료,2022,2676866654.0,0.0,0.0,국무조정실 및 국무총리비서실
246845110.0,0.0,0.0,(10)교육훈련비,2022,156388910.0,0.0,0.0,국무조정실 및 국무총리비서실
0.0,0.0,0.0,(9)피복비와급량비,2022,13970200.0,0.0,0.0,국무조정실 및 국무총리비서실
11656174.0,0.0,0.0,(8)지급보험료,2022,14261935.0,0.0,0.0,국무조정실 및 국무총리비서실
212507106.0,0.0,0.0,(7)수도광열비,2022,140384060.0,0.0,0.0,국무조정실 및 국무총리비서실
716304364.0,0.0,0.0,(6)세금과공과,2022,726592043.0,0.0,0.0,국무조정실 및 국무총리비서실
619071785.0,0.0,0.0,(5)지급수수료,2022,712576470.0,0.0,0.0,국무조정실 및 국무총리비서실
677501000.0,0.0,0.0,(4)광고선전비,2022,813263000.0,0.0,0.0,국무조정실 및 국무총리비서실
754078960.0,0.0,0.0,(3)인쇄비,2022,840468970.0,0.0,0.0,국무조정실 및 국무총리비서실
1487416720.0,0.0,0.0,(6)세금과공과,2022,1555652510.0,0.0,0.0,국방부
1731740.0,0.0,0.0,(7)수도광열비,2022,12551030.0,0.0,0.0,국방부
168667611.0,0.0,0.0,(8)지급보험료,2022,130408032.0,0.0,0.0,국방부
47784453828.0,0.0,0.0,(11)지급임차료,2022,33881420306.0,0.0,0.0,국세청
1674729148.0,0.0,0.0,(10)교육훈련비,2022,1772580310.0,0.0,0.0,국세청
752272602.0,0.0,0.0,(9)피복비와급량비,2022,723783901.0,0.0,0.0,국세청
730043441.0,0.0,0.0,(8)지급보험료,2022,448277013.0,0.0,0.0,국세청
15719873906.0,0.0,0.0,(7)수도광열비,2022,11617316255.0,0.0,0.0,국세청
12823307613.0,0.0,0.0,(6)세금과공과,2022,17405249012.0,0.0,0.0,국세청
10153739712.0,0.0,0.0,(5)지급수수료,2022,15280931807.0,0.0,0.0,국세청
73515160.0,0.0,0.0,(4)광고선전비,2022,1779175840.0,0.0,0.0,국세청
4266083732.0,0.0,0.0,(3)인쇄비,2022,4115018033.0,0.0,0.0,국세청
26024719584.0,0.0,0.0,(2)소모품비,2022,33761789252.0,0.0,0.0,국세청
244636031180.0,0.0,0.0,(1)복리후생비,2022,224954447904.0,0.0,0.0,국세청
532125701282.0,0.0,0.0,2.경비,2022,706672933184.0,0.0,0.0,국세청
1312957771653.0,0.0,0.0,1.인건비,2022,1279822900149.0,0.0,0.0,국세청
1845083472935.0,0.0,0.0,관리운영비,2022,1986495833333.0,0.0,0.0,국세청
18134640185.0,0.0,18134640185.0,5.책임운영기관운영,2022,16975017620.0,0.0,16975017620.0,국세청
21965796884.0,0.0,21965796884.0,4.성실납세 및 민생지원,2022,18087856064.0,0.0,18087856064.0,국세청
68850461386.0,-997403490.0,69847864876.0,3.체납·징수관리,2022,52821736791.0,-1276225540.0,54097962331.0,국세청
189806112.0,0.0,0.0,(12)유류비,2022,151194771.0,0.0,0.0,국세청
15086163772.0,0.0,0.0,(13)수선유지비,2022,17699719233.0,0.0,0.0,국세청
1721711596.0,0.0,0.0,(14)여비교통비,2022,1258755630.0,0.0,0.0,국세청
36185467435.0,0.0,0.0,3.기타수익,2022,78191720727.0,0.0,0.0,국세청
39745999.0,0.0,0.0,2.자산처분이익,2022,68249790.0,0.0,0.0,국세청
14354850.0,0.0,0.0,1.재화및용역제공수익,2022,51340990.0,0.0,0.0,국세청
36239568284.0,0.0,0.0,비배분수익,2022,78311311507.0,0.0,0.0,국세청
14658500.0,0.0,0.0,3.기타비용,2022,546122841.0,0.0,0.0,국세청
