세출예산현액,세출증감액,불용액,세출지출액,회계연도,다음년도이월액,소관명,수납액,예산현액,증감액
1.34325E+11,8452737030,6866179490,1.25873E+11,2020,1586557540,감사원,481478070,475000000,6478070
12968983470,1117244600,1117244600,11851738870,2020,0,개인정보보호위원회,63940010,2107834000,-2043893990
1.14261E+13,1.64872E+11,1.33581E+11,1.12612E+13,2020,31291061980,경찰청,9.82349E+11,9.51452E+11,30896918500
1.25565E+13,2.06293E+11,2.01883E+11,1.23502E+13,2020,4409575630,고용노동부,1.40051E+11,86322000000,53729480300
1.39122E+11,4699872060,4414872060,1.34422E+11,2020,285000000,공정거래위원회,2.67643E+11,4.2532E+11,-1.57677E+11
1.74703E+13,1.23448E+12,1.13021E+12,1.62358E+13,2020,1.04273E+11,과학기술정보통신부,8.74324E+12,9.11021E+12,-3.66971E+11
5.71609E+11,30430466890,29113792600,5.41179E+11,2020,1316674290,관세청,93924017210,1.43823E+11,-49898982790
7.53849E+13,1.4367E+11,97891222450,7.52412E+13,2020,45779018550,교육부,4.47882E+12,4.19277E+12,2.86057E+11
5.52314E+12,17740221560,11268255680,5.5054E+12,2020,6471965880,국가보훈처,4674441140,8338000000,-3663558860
38369605600,2182276380,1865116380,36187329220,2020,317160000,국가인권위원회,14431160,12000000,2431160
7.02878E+11,82723559410,71244639850,6.20154E+11,2020,11478919560,국가정보원,17090739510,12439000000,4651739510
6.13369E+11,29196804970,27190215100,5.84172E+11,2020,2006589870,국무조정실 및 국무총리비서실,331134590,0,331134590
87163600000,5798798420,5798798420,81364801580,2020,0,국민권익위원회,334951120,471000000,-136048880
3.47892E+13,1.18048E+12,6.69654E+11,3.36087E+13,2020,5.10824E+11,국방부,1.81397E+12,1.87182E+12,-57851326690
1.78981E+12,50138557460,50138557460,1.73967E+12,2020,0,국세청,8.99816E+11,8.71632E+11,28184135440
4.02974E+13,6.7416E+11,1.85877E+11,3.96232E+13,2020,4.88284E+11,국토교통부,1.55E+13,1.54111E+13,88913010750
6.77368E+11,60861958770,48012935740,6.16506E+11,2020,12849023030,국회,3294100890,3406000000,-111899110
5.6776E+12,7196728150,7100614150,5.67041E+12,2020,96114000,금융위원회,8.53607E+11,8.54191E+11,-583561000
3.84608E+11,26670519080,10611401120,3.57938E+11,2020,16059117960,기상청,6361431180,22122000000,-15760568820
1.54584E+13,1.62375E+12,1.62051E+12,1.38346E+13,2020,3232364670,기획재정부,3.93578E+14,3.89194E+14,4.38418E+12
2.01026E+13,1.11794E+11,85637897780,1.99908E+13,2020,26156191100,농림축산식품부,1.58926E+13,1.34722E+13,2.42044E+12
1.079E+12,12437085740,8645074540,1.06656E+12,2020,3792011200,농촌진흥청,20305037810,12232000000,8073037810
2.01305E+12,1.73475E+11,1.58117E+11,1.83957E+12,2020,15358110170,대법원,7.1976E+11,9.47557E+11,-2.27797E+11
89243459270,8529627590,8354452590,80713831680,2020,175175000,대통령경호처,106146800,75370000,30776800
94827000000,2892654280,2892654280,91934345720,2020,0,대통령비서실 및 국가안보실,462932820,243000000,219932820
9.12491E+11,31047951520,21330665410,8.81443E+11,2020,9717286110,문화재청,32786473720,52952000000,-20165526280
3.74111E+12,1.75847E+11,1.09257E+11,3.56526E+12,2020,66589984680,문화체육관광부,1.82722E+11,1.87648E+11,-4925764840
32819402000,3136265750,3136265750,29683136250,2020,0,민주평화통일자문회의,3944740,6000000,-2055260
59714868420,2798237870,2716476870,56916630550,2020,81761000,방송통신위원회,63737571940,40887581000,22849990940
1.60786E+13,3.35299E+11,1.32865E+11,1.57433E+13,2020,2.02435E+11,방위사업청,2.41632E+11,5.71606E+11,-3.29974E+11
3.83243E+12,1.17292E+11,89674981570,3.71514E+12,2020,27617092980,법무부,1.4549E+12,1.75065E+12,-2.95751E+11
40879410000,2462735630,2462735630,38416674370,2020,0,법제처,1167430,0,1167430
2.33275E+11,22851259600,22851259600,2.10424E+11,2020,0,병무청,227760270,216000000,11760270
5.79757E+13,1.23303E+11,75867661850,5.78524E+13,2020,47434842640,보건복지부,7.88103E+11,6.7836E+11,1.09743E+11
3.11082E+12,42238088670,26994335550,3.06858E+12,2020,15243753120,산림청,1.05706E+12,9.71724E+11,85339468200
1.13909E+13,9.75644E+11,9.51838E+11,1.04152E+13,2020,23806109180,산업통상자원부,6.86927E+12,7.92987E+12,-1.0606E+12
3.21412E+11,9639988370,1693483570,3.11772E+11,2020,7946504800,새만금개발청,1703178190,1709000000,-5821810
2.18747E+11,10288352860,6392279690,2.08458E+11,2020,3896073170,소방청,13151975590,3499000000,9652975590
5.92214E+11,23062398310,15332004010,5.69152E+11,2020,7730394300,식품의약품안전처,31640749490,32444000000,-803250510
