계정명,단위사업,단위사업명,ANEXP_BDGAMT_F,ANEXP_BDGAMT_M,ANEXP_BDG_CAMT,AVDV_IAMT,AVDV_MAMT,BDTR_IAMT,BDTR_MAMT,지출목,지출목명,DUSEAMT,EP_AMT,EP_NAMT,분야,분야명,FNT_IAMT,FNT_MAMT,회계명,회계연도,NEXT_YY_BFWAMT,소관명,OVR_EP_AMT,프로그램,프로그램명,PREY_BFWAMT,RSVF_EP_DCS_IAMT,RSVF_EP_DCS_MAMT,부문,부문명
,1031,의정지원,384793000.0,384793000.0,384793000.0,0.0,0.0,0.0,0.0,310,보전금,44404800.0,340388200.0,340388200.0,010,일반·지방행정,0.0,0.0,일반회계,2022,0.0,국회,0.0,1000,의정활동지원,0.0,0.0,0.0,011,입법및선거관리
,1031,의정지원,3709546000.0,3709546000.0,3709546000.0,0.0,0.0,0.0,0.0,320,민간이전,799976160.0,2909569840.0,2909569840.0,010,일반·지방행정,0.0,0.0,일반회계,2022,0.0,국회,0.0,1000,의정활동지원,0.0,0.0,0.0,011,입법및선거관리
,1031,의정지원,650566000.0,650566000.0,650566000.0,0.0,0.0,0.0,0.0,430,유형자산,65831470.0,584734530.0,584734530.0,010,일반·지방행정,0.0,0.0,일반회계,2022,0.0,국회,0.0,1000,의정활동지원,0.0,0.0,0.0,011,입법및선거관리
,1032,위원회운영지원,62175000.0,62175000.0,62175000.0,0.0,0.0,0.0,0.0,110,인건비,29577350.0,32597650.0,32597650.0,010,일반·지방행정,0.0,0.0,일반회계,2022,0.0,국회,0.0,1000,의정활동지원,0.0,0.0,0.0,011,입법및선거관리
,1032,위원회운영지원,2798295000.0,2798295000.0,2798295000.0,0.0,0.0,0.0,0.0,210,운영비,521692290.0,2276602710.0,2276602710.0,010,일반·지방행정,0.0,0.0,일반회계,2022,0.0,국회,0.0,1000,의정활동지원,0.0,0.0,0.0,011,입법및선거관리
,1032,위원회운영지원,2223456000.0,2223456000.0,2240004000.0,0.0,0.0,25854000.0,-9306000.0,220,여비,942549040.0,1297454960.0,1297454960.0,010,일반·지방행정,0.0,0.0,일반회계,2022,0.0,국회,0.0,1000,의정활동지원,0.0,0.0,0.0,011,입법및선거관리
,1032,위원회운영지원,2865806000.0,2865806000.0,2865806000.0,0.0,0.0,0.0,0.0,240,업무추진비,447335540.0,2418470460.0,2418470460.0,010,일반·지방행정,0.0,0.0,일반회계,2022,0.0,국회,0.0,1000,의정활동지원,0.0,0.0,0.0,011,입법및선거관리
,1032,위원회운영지원,1776286000.0,1776286000.0,1776286000.0,0.0,0.0,0.0,0.0,250,직무수행경비,283803850.0,1492482150.0,1492482150.0,010,일반·지방행정,0.0,0.0,일반회계,2022,0.0,국회,0.0,1000,의정활동지원,0.0,0.0,0.0,011,입법및선거관리
,1032,위원회운영지원,533000000.0,533000000.0,873000000.0,0.0,0.0,0.0,0.0,260,연구용역비,208000000.0,433000000.0,433000000.0,010,일반·지방행정,0.0,0.0,일반회계,2022,232000000.0,국회,0.0,1000,의정활동지원,340000000.0,0.0,0.0,011,입법및선거관리
,1032,위원회운영지원,47656000.0,47656000.0,47656000.0,0.0,0.0,0.0,0.0,310,보전금,5404400.0,42251600.0,42251600.0,010,일반·지방행정,0.0,0.0,일반회계,2022,0.0,국회,0.0,1000,의정활동지원,0.0,0.0,0.0,011,입법및선거관리
