회계연도,소관명,PRV_1_AMT,PRV_2_AMT,PRV_3_AMT,STL_TACCT_NM,THISP_1_AMT,THISP_2_AMT,THISP_3_AMT
2011,공정거래위원회,0,146396808,122762032,미수채권대손충당금,0,220833982,27986768
2011,공정거래위원회,0,0,5934602,3. 기타유동자산,0,0,11653409
2011,공정거래위원회,0,0,7341113706,Ⅱ.일반유형자산,0,0,4513533122
2011,공정거래위원회,0,0,232705274,1. 토지,0,0,240657260
2011,공정거래위원회,0,585581753,0,2. 건물,0,509576519,0
2011,공정거래위원회,0,0,585581753,건물감가상각누계액,0,17097536,492478983
2011,공정거래위원회,0,3764703677,0,3. 집기ㆍ비품ㆍ차량운반구,0,3206664904,0
2011,공정거래위원회,0,0,3764703677,집기ㆍ비품ㆍ차량운반구감가상각누계액,0,2179414276,1027250628
2011,공정거래위원회,0,2758123002,0,4. 기타일반유형자산,0,3948131542,0
2011,공정거래위원회,0,0,2758123002,기타일반유형자산감가상각누계액,0,1194985291,2753146251
2011,공정거래위원회,0,0,4598070906,Ⅲ.무형자산,0,0,1628119553
2011,공정거래위원회,0,0,4598070906,1. 소프트웨어,0,0,1628119553
2011,공정거래위원회,0,0,1988388000,Ⅳ.기타비유동자산,0,0,2028388000
2011,공정거래위원회,0,0,1988388000,1. 기타의기타비유동자산,0,0,2028388000
2011,공정거래위원회,0,0,14056290453,자산계,0,0,8209681105
2011,공정거래위원회,0,0,0,부채,0,0,0
2011,공정거래위원회,0,0,36301948,Ⅰ.유동부채,0,0,36868590
2011,공정거래위원회,0,0,36155509,1. 유동성장기차입부채,0,0,36612661
2011,공정거래위원회,0,0,146439,2. 기타유동부채,0,0,255929
2011,공정거래위원회,0,0,72314474,Ⅱ.장기차입부채,0,0,36616099
2011,공정거래위원회,0,0,72314474,1. 장기차입금,0,0,36616099
2011,공정거래위원회,0,0,83561040,Ⅲ.장기충당부채,0,0,107780660
2011,공정거래위원회,0,0,83561040,1. 퇴직급여충당부채,0,0,107780660
2011,공정거래위원회,0,0,192177462,부채계,0,0,181265349
2011,공정거래위원회,0,0,0,순자산,0,0,0
2011,공정거래위원회,0,0,7933015934,Ⅰ.기본순자산,0,0,7933015934
2011,공정거래위원회,0,0,3148928307,Ⅱ.적립금 및 잉여금,0,0,-2036270261
2011,공정거래위원회,0,0,2782168750,Ⅲ.순자산조정,0,0,2131670083
2011,공정거래위원회,0,0,13864112991,순자산계,0,0,8028415756
2011,공정거래위원회,0,0,14056290453,부채와순자산계,0,0,8209681105
2011,관세청,0,0,0,자산,0,0,0
2011,관세청,0,0,1873693601213,Ⅰ.유동자산,0,0,3475988868813
2011,관세청,0,0,30301,1. 현금및현금성자산,0,0,1158279
2011,관세청,0,1928042872780,0,2. 미수채권,0,3555009538240,0
2011,관세청,0,59872721100,1868170151680,미수채권대손충당금,0,83569123765,3471440414475
2011,관세청,0,0,5523419232,3. 기타유동자산,0,0,4547296059
2011,관세청,0,0,698033937497,Ⅱ.일반유형자산,0,0,857218700705
2011,관세청,0,0,357528044324,1. 토지,0,0,533674004448
2011,관세청,0,171365829237,0,2. 건물,0,181496254390,0
