계정명,회계명,회계연도,수입항명,수입관명,수입목명,소관명,수입구분,국회확정금액,정부안금액
,외국환평형기금,2011,기타이자수입및재산수입,재산수입,기타민간이자수입,기획재정부,일반수입,1282888500.0,1282888500.0
,외국환평형기금,2011,국공채수입,차입금및여유자금회수,국공채수입,기획재정부,보전수입,1000000000.0,1000000000.0
,외국환평형기금,2011,정부예금회수,차입금및여유자금회수,한국은행예치금회수,기획재정부,보전수입,9081620351.0,9081620351.0
,일반회계,2011,면허료및수수료,수입대체경비수입,면허료및수수료,외교통상부,일반수입,33789925.0,33789925.0
,일반회계,2010,기타경상이전수입,경상이전수입,기타경상이전수입,교육과학기술부,일반수입,2140.0,2001.0
,일반회계,2010,전대차관원금회수,융자및전대차관원금회수,기타민간전대차관원금회수,교육과학기술부,일반수입,4031819.0,3769587.0
,일반회계,2010,전대차관이자수입,재산수입,기타민간전대차관이자수입,교육과학기술부,일반수입,322152.0,301198.0
,일반회계,2010,전대차관원금회수,융자및전대차관원금회수,기타민간전대차관원금회수,금융위원회,일반수입,13800.0,12902.0
,일반회계,2010,전대차관원금회수,융자및전대차관원금회수,통화금융기관전대차관원금회수,금융위원회,일반수입,951378.0,889500.0
차관계정,공공자금관리기금,2010,기타경상이전수입,경상이전수입,기타경상이전수입,기획재정부,일반수입,346586.0,324044.0
차관계정,공공자금관리기금,2010,전대차관원금회수,융자및전대차관원금회수,기타민간전대차관원금회수,기획재정부,일반수입,172289071.0,161083278.0
차관계정,공공자금관리기금,2010,전대차관원금회수,융자및전대차관원금회수,비통화금융기관전대차관원금회수,기획재정부,일반수입,427826087.0,400000000.0
차관계정,공공자금관리기금,2010,전대차관원금회수,융자및전대차관원금회수,지방자치단체전대차관원금회수,기획재정부,일반수입,711473.0,665198.0
차관계정,공공자금관리기금,2010,전대차관원금회수,융자및전대차관원금회수,통화금융기관전대차관원금회수,기획재정부,일반수입,6312878.0,5902285.0
차관계정,공공자금관리기금,2010,전대차관이자수입,재산수입,기타민간전대차관이자수입,기획재정부,일반수입,43863000.0,41010122.0
차관계정,공공자금관리기금,2010,전대차관이자수입,재산수입,비통화금융기관전대차관이자수입,기획재정부,일반수입,41194779.0,38515443.0
차관계정,공공자금관리기금,2010,전대차관이자수입,재산수입,지방자치단체전대차관이자수입,기획재정부,일반수입,98251.0,91861.0
차관계정,공공자금관리기금,2010,전대차관이자수입,재산수입,통화금융기관전대차관이자수입,기획재정부,일반수입,876100.0,819118.0
차관계정,공공자금관리기금,2010,예탁원금회수,정부내부수입및기타,기금전대차관원금회수,기획재정부,내부거래수입(기금간거래),8127611.0,7598986.0
차관계정,공공자금관리기금,2010,예탁원금회수,정부내부수입및기타,타회계전대차관원금회수,기획재정부,내부거래수입(예산=>기금간거래),46797186.0,43753466.0
차관계정,공공자금관리기금,2010,예탁이자수입,정부내부수입및기타,기금전대차관이자수입,기획재정부,내부거래수입(기금간거래),248014.0,231883.0
차관계정,공공자금관리기금,2010,예탁이자수입,정부내부수입및기타,타회계전대차관이자수입,기획재정부,내부거래수입(예산=>기금간거래),3643717.0,3406727.0
,외국환평형기금,2010,기타이자수입및재산수입,재산수입,기타민간이자수입,기획재정부,일반수입,1794653426.0,1677928000.0
,외국환평형기금,2010,국공채수입,차입금및여유자금회수,국공채수입,기획재정부,보전수입,2000000000.0,2000000000.0
,외국환평형기금,2010,정부예금회수,차입금및여유자금회수,한국은행예치금회수,기획재정부,보전수입,25643655652.0,23975775610.0
,일반회계,2010,면허료및수수료,수입대체경비수입,면허료및수수료,외교통상부,일반수입,33416592.0,33416592.0
,일반회계,2009,기타경상이전수입,경상이전수입,기타경상이전수입,교육과학기술부,일반수입,2807.0,2807.0
,일반회계,2009,전대차관원금회수,융자및전대차관원금회수,기타민간전대차관원금회수,교육과학기술부,일반수입,5101223.0,5101223.0
,일반회계,2009,전대차관이자수입,재산수입,기타민간전대차관이자수입,교육과학기술부,일반수입,513179.0,513179.0
,일반회계,2009,전대차관원금회수,융자및전대차관원금회수,기타민간전대차관원금회수,금융위원회,일반수입,11729.0,11729.0
,일반회계,2009,전대차관원금회수,융자및전대차관원금회수,통화금융기관전대차관원금회수,금융위원회,일반수입,808699.0,808699.0
차관계정,공공자금관리기금,2009,기타경상이전수입,경상이전수입,기타경상이전수입,기획재정부,일반수입,368955.0,368955.0
차관계정,공공자금관리기금,2009,전대차관원금회수,융자및전대차관원금회수,기타민간전대차관원금회수,기획재정부,일반수입,212265064.0,212265064.0
차관계정,공공자금관리기금,2009,전대차관원금회수,융자및전대차관원금회수,비통화금융기관전대차관원금회수,기획재정부,일반수입,400000000.0,400000000.0
차관계정,공공자금관리기금,2009,전대차관원금회수,융자및전대차관원금회수,지방자치단체전대차관원금회수,기획재정부,일반수입,612113.0,612113.0
차관계정,공공자금관리기금,2009,전대차관원금회수,융자및전대차관원금회수,통화금융기관전대차관원금회수,기획재정부,일반수입,8107702.0,8107702.0
차관계정,공공자금관리기금,2009,전대차관이자수입,재산수입,기타민간전대차관이자수입,기획재정부,일반수입,52176144.0,52176144.0
차관계정,공공자금관리기금,2009,전대차관이자수입,재산수입,비통화금융기관전대차관이자수입,기획재정부,일반수입,63625845.0,63625845.0
차관계정,공공자금관리기금,2009,전대차관이자수입,재산수입,지방자치단체전대차관이자수입,기획재정부,일반수입,110545.0,110545.0
차관계정,공공자금관리기금,2009,전대차관이자수입,재산수입,통화금융기관전대차관이자수입,기획재정부,일반수입,1013492.0,1013492.0
차관계정,공공자금관리기금,2009,예탁원금회수,정부내부수입및기타,기금전대차관원금회수,기획재정부,내부거래수입(기금간거래),7135693.0,7135693.0
차관계정,공공자금관리기금,2009,예탁원금회수,정부내부수입및기타,타회계전대차관원금회수,기획재정부,내부거래수입(예산=>기금간거래),55413968.0,55413968.0
차관계정,공공자금관리기금,2009,예탁이자수입,정부내부수입및기타,기금전대차관이자수입,기획재정부,내부거래수입(기금간거래),421701.0,421701.0
차관계정,공공자금관리기금,2009,예탁이자수입,정부내부수입및기타,타회계전대차관이자수입,기획재정부,내부거래수입(예산=>기금간거래),6035808.0,6035808.0
,외국환평형기금,2009,기타이자수입및재산수입,재산수입,기타민간이자수입,기획재정부,일반수입,0.0,2481320000.0
,외국환평형기금,2009,국공채수입,차입금및여유자금회수,국공채수입,기획재정부,보전수입,0.0,6000000000.0
,외국환평형기금,2009,정부예금회수,차입금및여유자금회수,한국은행예치금회수,기획재정부,보전수입,0.0,22688663193.0
손익계정,양곡관리특별회계,2009,양곡사업수입,기업특별회계영업수입,미곡판매수입,농림수산식품부,일반수입,77557650.0,77557650.0
,일반회계,2009,면허료및수수료,수입대체경비수입,면허료및수수료,외교통상부,일반수입,26994960.0,26994960.0
,일반회계,2008,기타경상이전수입,경상이전수입,기타경상이전수입,교육인적자원부,일반수입,3386.0,3386.0
,일반회계,2008,전대차관원금회수,융자및전대차관원금회수,기타민간전대차관원금회수,교육인적자원부,일반수입,6002192.0,6002192.0
,일반회계,2008,전대차관이자수입,재산수입,기타민간전대차관이자수입,교육인적자원부,일반수입,770679.0,770679.0
,일반회계,2008,전대차관원금회수,융자및전대차관원금회수,통화금융기관전대차관원금회수,국무총리실,일반수입,889569.0,889569.0
,일반회계,2008,전대차관이자수입,재산수입,통화금융기관전대차관이자수입,국무총리실,일반수입,338635.0,338635.0
,일반회계,2008,면허료및수수료,수입대체경비수입,면허료및수수료,외교통상부,일반수입,32999633.0,32999633.0
차관계정,공공자금관리기금,2008,기타경상이전수입,경상이전수입,기타경상이전수입,재정경제부,일반수입,541743.0,541743.0
차관계정,공공자금관리기금,2008,전대차관원금회수,융자및전대차관원금회수,기타민간전대차관원금회수,재정경제부,일반수입,284312828.0,284312828.0
차관계정,공공자금관리기금,2008,전대차관원금회수,융자및전대차관원금회수,비통화금융기관전대차관원금회수,재정경제부,일반수입,577036448.0,577036448.0
차관계정,공공자금관리기금,2008,전대차관원금회수,융자및전대차관원금회수,지방자치단체전대차관원금회수,재정경제부,일반수입,4390376.0,4390376.0
차관계정,공공자금관리기금,2008,전대차관원금회수,융자및전대차관원금회수,통화금융기관전대차관원금회수,재정경제부,일반수입,11245656.0,11245656.0
차관계정,공공자금관리기금,2008,전대차관이자수입,재산수입,기타민간전대차관이자수입,재정경제부,일반수입,70489580.0,70489580.0
차관계정,공공자금관리기금,2008,전대차관이자수입,재산수입,비통화금융기관전대차관이자수입,재정경제부,일반수입,135112774.0,135112774.0
차관계정,공공자금관리기금,2008,전대차관이자수입,재산수입,지방자치단체전대차관이자수입,재정경제부,일반수입,246051.0,246051.0
차관계정,공공자금관리기금,2008,전대차관이자수입,재산수입,통화금융기관전대차관이자수입,재정경제부,일반수입,1739620.0,1739620.0
차관계정,공공자금관리기금,2008,예탁원금회수,정부내부수입및기타,기금전대차관원금회수,재정경제부,내부거래수입(기금간거래),7097438.0,7097438.0
차관계정,공공자금관리기금,2008,예탁원금회수,정부내부수입및기타,타회계전대차관원금회수,재정경제부,내부거래수입(예산=>기금간거래),67556299.0,67556299.0
