회계연도,소관명,결산예산구분명,지출금액
2015,통계청,결산,3707.0
2015,기상청,결산,3754.0
2015,경찰청,결산,89952.0
2015,공정거래위원회,결산,1031.0
2015,해양경찰청,결산,0.0
2015,민주평화통일자문회의,결산,256.0
2015,문화재청,결산,6786.0
2015,국가인권위원회,결산,264.0
2015,소방방재청,결산,0.0
2015,방위사업청,결산,107712.0
2015,행정중심복합도시건설청,결산,3751.0
2015,기획재정부,결산,183898.0
2015,문화체육관광부,결산,50840.0
2015,보건복지부,결산,522841.0
2015,여성가족부,결산,6036.0
2015,방송통신위원회,결산,548.0
2015,금융위원회,결산,2501.0
2015,국민권익위원회,결산,623.0
2015,원자력안전위원회,결산,1008.0
2015,대통령경호실,결산,758.0
2015,미래창조과학부,결산,131288.0
2015,교육부,결산,546985.0
2015,외교부,결산,20314.0
2015,안전행정부,결산,0.0
2015,농림축산식품부,결산,139867.0
2015,산업통상자원부,결산,83144.0
2015,국토교통부,결산,437710.0
2015,해양수산부,결산,44647.0
2015,식품의약품안전처,결산,3847.0
2015,대통령비서실 및 국가안보실,결산,856.0
2015,새만금개발청,결산,658.0
2015,4·16세월호참사 특별조사위원회,결산,71.0
2015,행정자치부,결산,365619.0
2015,국민안전처,결산,33530.0
2015,인사혁신처,결산,160480.0
